id,title,description,master_system,business_objects
AS3_Adventureworks_person_contacttype,contacttype,Lookup table containing the types of business entity contacts.,AS3,AS3_Adventureworks_person_contacttype
AS3_Adventureworks_person_emailaddress,emailaddress,Where to send a person email.,AS3,AS3_Adventureworks_person_emailaddress
AS3_Adventureworks_person_password,password,One way hashed authentication information,AS3,AS3_Adventureworks_person_password
AS3_Adventureworks_person_phonenumbertype,phonenumbertype,Type of phone number of a person.,AS3,AS3_Adventureworks_person_phonenumbertype
AS3_Adventureworks_person_stateprovince,stateprovince,State and province lookup table.,AS3,AS3_Adventureworks_person_stateprovince
AS3_Adventureworks_person_countryregion,countryregion,Lookup table containing the ISO standard codes for countries and regions.,AS3,AS3_Adventureworks_person_countryregion
AS3_Adventureworks_humanresources_employee,employee,"Employee information such as salary, department, and title.",AS3,AS3_Adventureworks_humanresources_employee
AS3_Adventureworks_humanresources_department,department,Lookup table containing the departments within the Adventure Works Cycles company.,AS3,AS3_Adventureworks_humanresources_department
AS3_Adventureworks_humanresources_employeedepartmenthistory,employeedepartmenthistory,Employee department transfers.,AS3,AS3_Adventureworks_humanresources_employeedepartmenthistory
AS3_Adventureworks_person_personphone,personphone,Telephone number and type of a person.,AS3,AS3_Adventureworks_person_personphone
AS3_Adventureworks_humanresources_employeepayhistory,employeepayhistory,Employee pay history.,AS3,AS3_Adventureworks_humanresources_employeepayhistory
AS3_Adventureworks_production_billofmaterials,billofmaterials,Items required to make bicycles and bicycle subassemblies. It identifies the heirarchical relationship between a parent product and its components.,AS3,AS3_Adventureworks_production_billofmaterials
AS3_Adventureworks_humanresources_jobcandidate,jobcandidate,R̩sum̩s submitted to Human Resources by job applicants.,AS3,AS3_Adventureworks_humanresources_jobcandidate
AS3_Adventureworks_production_document,document,Product maintenance documents.,AS3,AS3_Adventureworks_production_document
AS3_Adventureworks_humanresources_shift,shift,Work shift lookup table.,AS3,AS3_Adventureworks_humanresources_shift
AS3_Adventureworks_production_productsubcategory,productsubcategory,Product subcategories. See ProductCategory table.,AS3,AS3_Adventureworks_production_productsubcategory
AS3_Adventureworks_production_culture,culture,Lookup table containing the languages in which some AdventureWorks data is stored.,AS3,AS3_Adventureworks_production_culture
AS3_Adventureworks_production_productcategory,productcategory,High-level product categorization.,AS3,AS3_Adventureworks_production_productcategory
AS3_Adventureworks_production_location,location,Product inventory and manufacturing locations.,AS3,AS3_Adventureworks_production_location
AS3_Adventureworks_production_productdescription,productdescription,Product descriptions in several languages.,AS3,AS3_Adventureworks_production_productdescription
AS3_Adventureworks_production_productmodel,productmodel,Product model classification.,AS3,AS3_Adventureworks_production_productmodel
AS3_Adventureworks_production_product,product,Products sold or used in the manfacturing of sold products.,AS3,AS3_Adventureworks_production_product
AS3_Adventureworks_production_productinventory,productinventory,Product inventory information.,AS3,AS3_Adventureworks_production_productinventory
AS3_Adventureworks_production_productcosthistory,productcosthistory,Changes in the cost of a product over time.,AS3,AS3_Adventureworks_production_productcosthistory
AS3_Adventureworks_production_productdocument,productdocument,Cross-reference table mapping products to related product documents.,AS3,AS3_Adventureworks_production_productdocument
AS3_Adventureworks_production_illustration,illustration,Bicycle assembly diagrams.,AS3,AS3_Adventureworks_production_illustration
AS3_Adventureworks_production_productmodelillustration,productmodelillustration,Cross-reference table mapping product models and illustrations.,AS3,AS3_Adventureworks_production_productmodelillustration
AS3_Adventureworks_production_productphoto,productphoto,Product images.,AS3,AS3_Adventureworks_production_productphoto
AS3_Adventureworks_production_productmodelproductdescriptionculture,productmodelproductdescriptionculture,Cross-reference table mapping product descriptions and the language the description is written in.,AS3,AS3_Adventureworks_production_productmodelproductdescriptionculture
AS3_Adventureworks_production_productproductphoto,productproductphoto,Cross-reference table mapping products and product photos.,AS3,AS3_Adventureworks_production_productproductphoto
AS3_Adventureworks_production_unitmeasure,unitmeasure,Unit of measure lookup table.,AS3,AS3_Adventureworks_production_unitmeasure
AS3_Adventureworks_production_productreview,productreview,Customer reviews of products they have purchased.,AS3,AS3_Adventureworks_production_productreview
AS3_Adventureworks_production_transactionhistoryarchive,transactionhistoryarchive,Transactions for previous years.,AS3,AS3_Adventureworks_production_transactionhistoryarchive
AS3_Adventureworks_purchasing_productvendor,productvendor,Cross-reference table mapping vendors with the products they supply.,AS3,AS3_Adventureworks_purchasing_productvendor
AS3_Adventureworks_purchasing_purchaseorderdetail,purchaseorderdetail,Individual products associated with a specific purchase order. See PurchaseOrderHeader.,AS3,AS3_Adventureworks_purchasing_purchaseorderdetail
AS3_Adventureworks_purchasing_purchaseorderheader,purchaseorderheader,General purchase order information. See PurchaseOrderDetail.,AS3,AS3_Adventureworks_purchasing_purchaseorderheader
AS3_Adventureworks_production_transactionhistory,transactionhistory,"Record of each purchase order, sales order, or work order transaction year to date.",AS3,AS3_Adventureworks_production_transactionhistory
AS3_Adventureworks_production_workorder,workorder,Manufacturing work orders.,AS3,AS3_Adventureworks_production_workorder
AS3_Adventureworks_production_scrapreason,scrapreason,Manufacturing failure reasons lookup table.,AS3,AS3_Adventureworks_production_scrapreason
AS3_Adventureworks_production_workorderrouting,workorderrouting,Work order details.,AS3,AS3_Adventureworks_production_workorderrouting
